league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,nation_adv,pos_adv,age_adv,born_adv,90s_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg+_per_-,expected__per_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_(gk),passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa_per_90,sweeper_avgdist
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,,,31,1992,37,37,3194,35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0,,,31,1992,35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34,1990,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0,,,34,1990,2.5,6,1,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60.0,40,3,7.5,0,0.0,8.6
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,,,29,1994,31,31,2790,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0,,,29,1994,31.0,39,4,0,4,0,41.0,0.28,2.0,0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6.0,54,1.74,16.0
ENG-Premier League,2425,Bournemouth,Mark Travers,,,25,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,,,25,1999,5.0,5,0,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.0,12.9
ENG-Premier League,2425,Bournemouth,Neto,,,35,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,,,35,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,,,22,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,,,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.0,4.7
ENG-Premier League,2425,Brentford,Mark Flekken,,,31,1993,37,37,3275,36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0.0,,,31,1993,36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5
ENG-Premier League,2425,Brighton,Bart Verbruggen,,,21,2002,36,36,3240,36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0,,,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9
ENG-Premier League,2425,Brighton,Jason Steele,,,33,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,,,33,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,,,22,2002,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,,,22,2002,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2
ENG-Premier League,2425,Chelsea,Robert Sánchez,,,26,1997,32,32,2880,32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0,,,26,1997,32.0,34,4,0,4,0,35.7,0.25,1.7,0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5
ENG-Premier League,2425,Crystal Palace,Dean Henderson,,,27,1997,38,38,3420,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,,,27,1997,38.0,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,942,115,47.5,38.5,273,56.0,44.9,559,30,5.4,40,1.05,14.3
ENG-Premier League,2425,Everton,Jordan Pickford,,,30,1994,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,,,30,1994,38.0,44,0,1,6,0,48.8,0.3,4.8,0.13,304,806,37.7,1355,161,48.8,39.7,231,62.8,48.7,558,31,5.6,57,1.5,15.2
ENG-Premier League,2425,Fulham,Bernd Leno,,,32,1992,38,38,3420,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,,,32,1992,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3
ENG-Premier League,2425,Ipswich Town,Alex Palmer,,,27,1996,13,13,1170,13.0,30,2.31,71,43,59.2,1,3,9,0,0.0,1,1,0,0,0.0,,,27,1996,13.0,30,1,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8.0,13,1.0,11.5
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,,,25,1998,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,,,25,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2
ENG-Premier League,2425,Ipswich Town,Christian Walton,,,28,1995,7,7,630,7.0,19,2.71,39,20,56.4,1,1,5,1,14.3,2,2,0,0,0.0,,,28,1995,7.0,19,2,0,0,0,17.1,0.4,-1.9,-0.28,42,116,36.2,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,0.29,8.2
ENG-Premier League,2425,Leicester City,Danny Ward,,,31,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,,,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7
ENG-Premier League,2425,Leicester City,Jakub Stolarczyk,,,23,2000,10,10,900,10.0,16,1.6,44,28,63.6,3,1,6,2,20.0,0,0,0,0,,,,23,2000,10.0,16,0,0,2,0,15.4,0.35,-0.6,-0.06,57,195,29.2,328,36,46.3,34.2,58,74.1,50.2,169,10,5.9,8,0.8,12.5
ENG-Premier League,2425,Leicester City,Mads Hermansen,,,24,2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,,,24,2000,26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1
ENG-Premier League,2425,Liverpool,Alisson,,,31,1992,28,28,2508,27.9,29,1.04,100,73,72.0,18,7,3,9,32.1,1,1,0,0,0.0,,,31,1992,27.9,29,1,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16.0
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,,,25,1998,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,,,25,1998,10.0,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.9,14.0
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,,,23,2001,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,,,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.0,11.0
ENG-Premier League,2425,Manchester City,Ederson,,,30,1993,26,26,2320,25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,2,0,0,0.0,,,30,1993,25.8,26,2,0,3,1,30.0,0.37,5.0,0.19,72,165,43.6,846,108,17.4,27.9,77,23.4,31.9,224,13,5.8,49,1.9,17.5
ENG-Premier League,2425,Manchester City,Stefan Ortega,,,31,1992,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,,,31,1992,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3
ENG-Premier League,2425,Manchester Utd,Altay Bayındır,,,26,1998,4,4,360,4.0,10,2.5,17,8,41.2,1,0,3,1,25.0,0,0,0,0,,,,26,1998,4.0,10,0,0,0,1,10.1,0.59,1.1,0.27,13,62,21.0,128,12,34.4,34.1,24,75.0,53.8,56,4,7.1,7,1.75,12.0
ENG-Premier League,2425,Manchester Utd,André Onana,,,28,1996,34,34,3060,34.0,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25.0,,,28,1996,34.0,44,3,1,10,1,44.0,0.31,1.0,0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,,,35,1989,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,,,35,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
ENG-Premier League,2425,Newcastle Utd,Nick Pope,,,32,1992,28,28,2520,28.0,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50.0,,,32,1992,28.0,35,1,0,3,2,34.8,0.28,1.8,0.06,72,257,28.0,595,192,25.7,30.7,187,55.6,43.6,359,39,10.9,64,2.29,16.0
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,,,32,1992,38,38,3420,38.0,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,,,32,1992,38.0,46,3,1,5,0,49.1,0.29,3.1,0.08,244,698,35.0,715,83,68.4,44.7,270,77.4,54.3,710,19,2.7,12,0.32,8.7
ENG-Premier League,2425,Southampton,Aaron Ramsdale,,,26,1998,30,30,2700,30.0,66,2.2,188,120,67.6,2,5,23,3,10.0,7,5,2,0,28.6,,,26,1998,30.0,66,5,0,10,0,63.5,0.32,-2.5,-0.08,196,605,32.4,1026,129,44.6,36.0,190,77.4,55.9,457,25,5.5,20,0.67,11.7
ENG-Premier League,2425,Southampton,Alex McCarthy,,,34,1989,5,5,450,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,,,34,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5
ENG-Premier League,2425,Southampton,Joe Lumley,,,29,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,,,29,1995,3.0,7,0,0,1,0,7.7,0.39,0.7,0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0
ENG-Premier League,2425,Tottenham,Antonín Kinský,,,21,2003,6,6,540,6.0,11,1.83,32,23,65.6,1,0,5,1,16.7,0,0,0,0,,,,21,2003,6.0,11,0,0,1,2,10.5,0.33,1.5,0.25,17,58,29.3,186,37,26.9,30.7,30,26.7,29.1,112,10,8.9,9,1.5,12.1
ENG-Premier League,2425,Tottenham,Brandon Austin,,,25,1999,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,,,25,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
ENG-Premier League,2425,Tottenham,Fraser Forster,,,36,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,,,36,1988,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,,,27,1996,24,24,2160,24.0,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0.0,,,27,1996,24.0,37,1,0,6,2,37.4,0.36,2.4,0.1,28,95,29.5,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,1.29,13.3
ENG-Premier League,2425,West Ham,Alphonse Areola,,,31,1993,26,25,2260,25.1,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,0,,,,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15.0
ENG-Premier League,2425,West Ham,Łukasz Fabiański,,,39,1985,14,13,1160,12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0,0.0,,,39,1985,12.9,21,3,1,3,0,22.6,0.29,1.6,0.12,77,226,34.1,394,55,41.9,35.5,100,61.0,45.1,220,10,4.5,12,0.93,13.1
ENG-Premier League,2425,Wolves,Daniel Bentley,,,31,1993,2,2,180,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,,,,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,13,61.5,46.4,25,0,0.0,3,1.5,16.4
ENG-Premier League,2425,Wolves,José Sá,,,31,1993,29,29,2609,29.0,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6,,,31,1993,29.0,48,5,1,6,2,42.8,0.33,-3.2,-0.11,94,382,24.6,771,121,39.3,35.2,150,52.7,41.5,432,32,7.4,43,1.48,15.5
ENG-Premier League,2425,Wolves,Sam Johnstone,,,31,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,,,31,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4
ENG-Premier League,2425,Wolves,Tom King,,,29,1995,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,,,29,1995,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,1,0.0,14.0,0,,,1,0,0.0,0,0.0,
ESP-La Liga,2425,Alavés,Adrian Rodriguez,,,23,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,,,23,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.0,9.8
ESP-La Liga,2425,Alavés,Antonio Sivera,,,27,1996,32,32,2810,31.2,39,1.25,112,75,73.2,9,10,13,8,25.0,9,9,0,0,0.0,,,27,1996,31.2,39,9,2,2,2,39.0,0.28,2.0,0.06,297,724,41.0,735,70,71.8,47.7,229,85.6,60.0,453,30,6.6,29,0.93,12.7
ESP-La Liga,2425,Alavés,Jesús Owono,,,23,2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0,,,23,2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43.0,36,97.2,67.5,66,6,9.1,2,0.37,8.9
ESP-La Liga,2425,Athletic Club,Alex Padilla,,,20,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0,,,20,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,,,23,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,,,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
ESP-La Liga,2425,Athletic Club,Unai Simón,,,27,1997,21,21,1890,21.0,14,0.67,62,47,79.0,10,8,3,10,47.6,2,1,1,0,50.0,,,27,1997,21.0,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,,,31,1993,36,36,3240,36.0,30,0.83,114,86,78.1,20,10,6,15,41.7,5,5,0,0,0.0,,,31,1993,36.0,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14.0
ESP-La Liga,2425,Atlético Madrid,Juan Musso,,,30,1994,2,2,180,2.0,0,0.0,2,2,100.0,2,0,0,2,100.0,0,0,0,0,,,,30,1994,2.0,0,0,0,0,0,0.1,0.05,0.1,0.05,1,9,11.1,46,11,15.2,24.0,13,15.4,25.2,23,2,8.7,0,0.0,11.2
ESP-La Liga,2425,Barcelona,Iñaki Peña,,,25,1999,16,15,1396,15.5,18,1.16,53,35,69.8,7,3,5,4,26.7,2,2,0,0,0.0,,,25,1999,15.5,18,2,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,546,80,10.8,24.7,84,22.6,30.3,143,3,2.1,89,5.74,23.5
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,,,32,1992,8,8,674,7.5,9,1.2,22,13,63.6,7,0,1,1,12.5,1,1,0,0,0.0,,,32,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32.0,83,5,6.0,13,1.74,17.0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,,,34,1990,15,15,1350,15.0,12,0.8,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0.0,,,34,1990,15.0,12,1,0,1,0,12.0,0.35,0.0,0.0,24,63,38.1,398,61,12.3,25.1,54,25.9,31.0,130,7,5.4,56,3.73,20.2
ESP-La Liga,2425,Betis,Adrián,,,37,1987,19,19,1710,19.0,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0.0,,,37,1987,19.0,27,1,2,5,0,26.0,0.33,-1.0,-0.05,58,178,32.6,507,91,28.0,31.2,109,33.0,33.8,257,14,5.4,16,0.84,11.7
ESP-La Liga,2425,Betis,Fran Vieites,,,25,1999,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,,,,25,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.0,12.8
ESP-La Liga,2425,Betis,Rui Silva,,,30,1994,15,15,1350,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0,,,30,1994,15.0,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9
ESP-La Liga,2425,Celta Vigo,Iván Villar,,,27,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,,,27,1997,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,,,37,1987,34,34,3060,34.0,48,1.41,127,79,64.6,14,7,13,8,23.5,3,3,0,0,0.0,,,37,1987,34.0,48,3,0,6,0,40.6,0.3,-7.4,-0.22,66,220,30.0,740,195,18.4,27.3,230,36.5,35.4,436,26,6.0,44,1.29,14.0
ESP-La Liga,2425,Espanyol,Joan García,,,23,2001,38,38,3420,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,,,23,2001,38.0,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,1040,197,37.6,34.8,216,62.5,48.5,670,64,9.6,35,0.92,12.0
ESP-La Liga,2425,Getafe,David Soria,,,31,1993,38,38,3420,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,,,31,1993,38.0,39,8,0,5,0,42.0,0.29,3.0,0.08,300,799,37.5,719,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7
ESP-La Liga,2425,Girona,Krapyvtsov Vladyslav,,,19,2005,2,2,180,2.0,7,3.5,18,11,66.7,0,0,2,0,0.0,1,1,0,0,0.0,,,19,2005,2.0,7,1,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,63,13,31.7,35.6,7,14.3,28.6,27,1,3.7,1,0.5,12.9
ESP-La Liga,2425,Girona,Pau López,,,29,1994,1,0,45,0.5,2,4.0,3,1,33.3,0,0,0,0,,0,0,0,0,,,,29,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2.0,9.8
ESP-La Liga,2425,Girona,Paulo Gazzaniga,,,32,1992,36,36,3195,35.5,51,1.44,143,90,65.7,11,8,17,8,22.2,5,2,3,0,60.0,,,32,1992,35.5,51,2,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,1026,137,21.6,29.4,180,42.2,40.0,419,36,8.6,33,0.93,12.6
ESP-La Liga,2425,Las Palmas,Dinko Horkaš,,,25,1999,13,11,1085,12.1,19,1.58,54,35,66.7,2,0,9,1,9.1,2,1,1,0,50.0,,,25,1999,12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,47,51.1,43.0,148,9,6.1,16,1.33,15.6
ESP-La Liga,2425,Las Palmas,Jasper Cillessen,,,35,1989,27,27,2335,25.9,42,1.62,128,85,70.3,6,8,13,3,11.1,8,4,3,1,42.9,,,35,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5
