,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,47,3,1,4,2,47.5,0.33,2.5,0.07,92,202,45.5,1097,133,15.0,24.4,105,35.2,32.7,309,28,9.1,59,1.74,18.3
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,26,1998,19.0,19,1,0,2,0,17.2,0.26,-1.8,-0.1,50,157,31.8,447,70,25.7,29.9,99,42.4,38.1,225,16,7.1,20,1.05,14.8
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,24,1999,15.0,22,2,1,1,0,21.1,0.31,-0.9,-0.06,27,112,24.1,320,76,26.6,30.5,87,31.0,32.8,154,14,9.1,18,1.2,14.0
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30.0,68,6,0,5,3,57.3,0.31,-5.7,-0.2,177,449,39.4,814,115,42.5,36.2,184,56.0,42.4,408,20,4.9,26,0.9,14.3
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3
FRA-Ligue 1,2425,Nantes,Alban Lafont,FRA,GK,25,1999,12.0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,57,66.7,51.1,200,16,8.0,6,0.5,10.6
FRA-Ligue 1,2425,Nantes,Anthony Lopes,POR,GK,33,1990,17.4,26,4,0,1,1,25.6,0.32,0.6,0.03,89,257,34.6,451,56,40.4,35.8,96,78.1,49.4,308,16,5.2,8,0.46,11.0
FRA-Ligue 1,2425,Nantes,Patrik Carlgren,SWE,GK,32,1992,4.6,7,0,0,1,0,8.5,0.3,1.5,0.31,22,63,34.9,99,27,36.4,34.4,37,73.0,48.6,80,1,1.3,1,0.22,10.9
FRA-Ligue 1,2425,Nice,Marcin Bułka,POL,GK,24,1999,34.0,41,2,0,4,1,43.0,0.26,3.0,0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1.0,1,0,0,0,0,1.5,0.37,0.5,0.46,3,4,75.0,30,4,13.3,25.4,2,0.0,21.5,5,1,20.0,1,1.0,15.6
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,23.2,25,1,1,4,0,21.7,0.29,-3.3,-0.14,35,101,34.7,543,90,13.6,25.1,89,30.3,28.2,199,10,5.0,19,0.82,14.4
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,9.8,9,2,0,2,1,7.2,0.26,-0.8,-0.08,36,83,43.4,262,46,26.3,29.1,48,29.2,28.8,94,5,5.3,14,1.43,18.0
FRA-Ligue 1,2425,Reims,Yehvann Diouf,SEN,GK,24,1999,34.0,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,993,153,34.4,33.3,220,61.4,45.0,554,31,5.6,42,1.24,14.6
FRA-Ligue 1,2425,Rennes,Brice Samba,FRA,GK,30,1994,17.0,27,1,1,4,0,29.2,0.32,2.2,0.13,58,178,32.6,569,64,24.4,29.7,102,38.2,33.3,225,16,7.1,15,0.88,13.2
FRA-Ligue 1,2425,Rennes,Gauthier Gallon,FRA,GK,31,1993,0.5,0,0,0,0,0,0.0,,0.0,0.0,0,3,0.0,15,2,13.3,23.8,4,25.0,26.3,2,0,0.0,1,2.0,28.0
FRA-Ligue 1,2425,Rennes,Steve Mandanda,FRA,GK,39,1985,16.5,23,2,0,2,2,17.0,0.29,-4.0,-0.24,61,180,33.9,426,66,33.6,32.7,73,50.7,41.6,175,7,4.0,21,1.27,15.7
FRA-Ligue 1,2425,Saint-Étienne,Gautier Larsonneur,FRA,GK,27,1997,34.0,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27.0,978,145,38.8,34.7,205,52.2,40.5,510,24,4.7,33,1.0,14.0
FRA-Ligue 1,2425,Strasbourg,Karl-Johan Johnsson,SWE,GK,34,1990,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.0,11.1
FRA-Ligue 1,2425,Strasbourg,Đorđe Petrović,SRB,GK,24,1999,31.0,38,7,0,3,2,45.9,0.27,9.9,0.32,117,361,32.4,1438,127,20.9,27.4,107,56.1,45.6,491,41,8.4,47,1.52,15.2
FRA-Ligue 1,2425,Toulouse,Guillaume Restes,FRA,GK,19,2005,28.3,36,1,1,3,3,27.9,0.29,-5.1,-0.18,80,286,28.0,675,83,30.8,30.3,135,57.8,42.8,360,5,1.4,34,1.2,16.9
FRA-Ligue 1,2425,Toulouse,Kjetil Haug,NOR,GK,26,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,35,68.6,49.1,72,5,6.9,3,0.54,12.1
FRA-Ligue 1,2425,Toulouse,Álex Domínguez,ESP,GK,26,1998,0.2,0,0,0,0,0,0.0,,0.0,0.0,2,5,40.0,8,1,25.0,30.0,3,100.0,69.3,7,0,0.0,0,0.0,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19.0,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.2,13.3
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24,2000,3.0,5,0,0,0,0,4.0,0.58,-1.0,-0.32,5,25,20.0,96,5,25.0,29.5,7,14.3,29.6,17,0,0.0,8,2.67,21.2
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20,2003,8.0,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38.0,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38,1986,22.0,15,1,0,2,0,15.0,0.33,0.0,0.0,92,194,47.4,867,81,20.0,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35,1988,1.0,0,0,0,0,0,0.0,,0.0,0.0,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.0,12.3
GER-Bundesliga,2425,Bochum,Patrick Drewes,GER,GK,31,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8
GER-Bundesliga,2425,Bochum,Timo Horn,GER,GK,31,1993,13.0,22,0,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,400,29,60.8,43.6,98,90.8,61.8,182,6,3.3,18,1.38,14.8
GER-Bundesliga,2425,Dortmund,Alexander Meyer,GER,GK,33,1991,2.0,4,0,0,0,0,4.0,0.36,0.0,0.0,8,33,24.2,76,3,35.5,34.8,7,85.7,63.6,24,1,4.2,2,1.0,14.8
GER-Bundesliga,2425,Dortmund,Gregor Kobel,SUI,GK,26,1997,32.0,47,4,0,5,1,47.4,0.35,1.4,0.04,112,336,33.3,1117,126,23.7,28.6,121,58.7,45.3,420,22,5.2,47,1.47,15.7
GER-Bundesliga,2425,Eint Frankfurt,Kauã Santos,BRA,GK,21,2003,8.5,12,1,0,4,1,14.3,0.3,3.3,0.39,40,116,34.5,248,34,37.1,33.2,44,54.5,42.9,137,16,11.7,18,2.12,14.0
GER-Bundesliga,2425,Eint Frankfurt,Kevin Trapp,GER,GK,34,1990,25.5,34,0,0,6,1,34.9,0.3,1.9,0.08,89,312,28.5,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.1,13.6
GER-Bundesliga,2425,Freiburg,Florian Müller,GER,GK,26,1997,8.4,16,2,0,3,1,11.6,0.35,-3.4,-0.41,54,166,32.5,267,28,44.9,37.1,57,80.7,57.7,104,6,5.8,9,1.08,13.4
GER-Bundesliga,2425,Freiburg,Noah Atubolu,GER,GK,22,2002,25.6,37,0,1,3,0,37.0,0.3,0.0,0.0,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9.0,28,1.09,12.7
GER-Bundesliga,2425,Gladbach,Jonas Omlin,SUI,GK,30,1994,10.9,26,2,1,6,0,23.8,0.31,-2.2,-0.2,68,190,35.8,453,46,34.9,32.7,57,56.1,44.2,166,3,1.8,13,1.2,15.1
GER-Bundesliga,2425,Gladbach,Moritz Nicolas,GER,GK,26,1997,18.2,25,5,0,1,2,29.9,0.29,6.9,0.38,95,199,47.7,734,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12.0
GER-Bundesliga,2425,Gladbach,Tiago Cardoso,LUX,GK,18,2006,4.2,3,0,0,0,0,4.7,0.2,1.7,0.39,23,62,37.1,148,22,27.0,29.2,31,71.0,48.9,96,14,14.6,1,0.24,5.6
GER-Bundesliga,2425,Gladbach,Tobias Sippel,GER,GK,36,1988,0.7,3,0,0,1,0,1.2,0.3,-1.8,-2.72,9,22,40.9,22,2,45.5,39.2,12,100.0,69.2,13,0,0.0,0,0.0,2.0
GER-Bundesliga,2425,Heidenheim,Frank Feller,GER,GK,20,2004,1.3,0,0,0,0,0,0.3,0.16,0.3,0.24,10,34,29.4,54,7,42.6,38.0,11,100.0,68.4,25,1,4.0,1,0.74,14.8
GER-Bundesliga,2425,Heidenheim,Kevin Müller,GER,GK,33,1991,32.7,64,6,0,7,0,59.3,0.33,-4.7,-0.14,152,428,35.5,1031,153,31.4,33.8,271,38.4,38.3,453,21,4.6,20,0.61,12.0
GER-Bundesliga,2425,Hoffenheim,Luca Philipp,GER,GK,23,2000,6.0,15,1,0,2,1,12.3,0.34,-1.7,-0.28,30,97,30.9,157,22,51.0,38.7,36,47.2,40.6,84,3,3.6,4,0.67,12.8
GER-Bundesliga,2425,Hoffenheim,Oliver Baumann,GER,GK,34,1990,28.0,53,2,1,7,2,52.1,0.36,1.1,0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5
GER-Bundesliga,2425,Holstein Kiel,Thomas Dähne,GER,GK,30,1994,9.0,19,2,1,1,1,18.5,0.3,0.5,0.06,47,133,35.3,304,55,25.7,30.3,91,60.4,45.6,177,15,8.5,5,0.56,9.3
GER-Bundesliga,2425,Holstein Kiel,Timon Weiner,GER,GK,25,1999,25.0,61,4,2,5,2,47.2,0.32,-11.8,-0.47,167,444,37.6,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,0.72,11.1
GER-Bundesliga,2425,Leverkusen,Lukáš Hrádecký,FIN,GK,34,1989,29.0,38,4,1,2,3,35.8,0.28,0.8,0.03,123,306,40.2,774,110,30.9,31.5,135,49.6,40.8,296,12,4.1,39,1.34,17.3
GER-Bundesliga,2425,Leverkusen,Matej Kovar,CZE,GK,24,2000,5.0,5,0,0,0,1,3.5,0.22,-0.5,-0.09,12,32,37.5,131,16,21.4,27.9,15,26.7,27.7,52,2,3.8,6,1.2,16.9
GER-Bundesliga,2425,Mainz 05,Lasse Rieß,GER,GK,23,2001,2.0,2,0,0,0,0,2.2,0.27,0.2,0.09,13,43,30.2,72,7,51.4,41.6,12,50.0,45.6,23,2,8.7,8,4.0,18.0
GER-Bundesliga,2425,Mainz 05,Robin Zentner,GER,GK,29,1994,32.0,41,4,2,9,0,45.0,0.29,4.0,0.12,175,567,30.9,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,1.81,14.0
GER-Bundesliga,2425,RB Leipzig,Maarten Vandevoordt,BEL,GK,22,2002,4.8,9,0,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,139,27,23.0,29.4,35,57.1,46.0,78,7,9.0,11,2.31,16.1
GER-Bundesliga,2425,RB Leipzig,Péter Gulácsi,HUN,GK,34,1990,29.2,39,2,1,4,0,42.6,0.3,3.6,0.12,79,209,37.8,705,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8
GER-Bundesliga,2425,St. Pauli,Ben Alexander Voll,GER,GK,23,2000,1.0,2,0,0,0,0,2.4,0.48,0.4,0.41,7,28,25.0,37,5,59.5,44.7,13,46.2,39.7,15,0,0.0,0,0.0,
GER-Bundesliga,2425,St. Pauli,Nikola Vasilj,BIH,GK,28,1995,33.0,39,1,0,5,1,47.4,0.32,9.4,0.29,164,493,33.3,1267,107,34.2,32.7,134,44.8,38.0,411,24,5.8,27,0.82,12.8
GER-Bundesliga,2425,Stuttgart,Alexander Nübel,GER,GK,27,1996,34.0,53,2,1,7,1,44.8,0.32,-7.2,-0.21,157,410,38.3,1183,137,30.1,30.7,122,44.3,39.5,415,21,5.1,57,1.68,17.6
GER-Bundesliga,2425,Union Berlin,Alexander Schwolow,GER,GK,32,1992,6.0,13,1,0,0,0,9.7,0.32,-3.3,-0.55,28,73,38.4,166,26,31.3,31.0,40,52.5,42.6,85,0,0.0,4,0.67,14.2
GER-Bundesliga,2425,Union Berlin,Frederik Rønnow,DEN,GK,31,1992,28.0,37,1,1,1,1,39.3,0.32,3.3,0.12,143,395,36.2,734,135,36.6,34.3,161,78.3,54.3,483,40,8.3,35,1.25,13.4
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34.0,57,3,2,4,3,52.9,0.33,-1.1,-0.03,134,370,36.2,1204,188,27.7,31.9,107,33.6,36.8,464,35,7.5,34,1.0,13.5
GER-Bundesliga,2425,Wolfsburg,Kamil Grabara,POL,GK,25,1999,28.7,49,2,0,9,1,49.7,0.35,1.7,0.06,186,511,36.4,979,114,41.7,36.7,154,66.9,51.9,413,15,3.6,19,0.66,12.2
GER-Bundesliga,2425,Wolfsburg,Marius Müller,GER,GK,31,1993,5.3,5,0,0,2,0,7.6,0.33,2.6,0.49,37,97,38.1,184,29,39.1,36.6,34,73.5,51.4,99,9,9.1,3,0.57,11.7
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1.0,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.0,17.5
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34.0,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3.0,3,0,0,0,0,4.2,0.34,1.2,0.41,8,19,42.1,83,12,18.1,27.6,18,22.2,32.1,29,0,0.0,10,3.33,23.1
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,11.7,14,1,0,2,0,11.7,0.46,-2.3,-0.2,48,138,34.8,426,45,27.5,30.8,47,44.7,40.4,97,11,11.3,9,0.77,12.9
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,26.3,33,1,0,1,2,28.7,0.34,-2.3,-0.09,123,329,37.4,1005,113,27.9,31.6,95,51.6,44.7,215,18,8.4,23,0.88,13.0
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,6.9,11,0,0,0,0,10.9,0.35,-0.1,-0.02,29,84,34.5,168,22,35.7,32.2,57,42.1,37.0,85,4,4.7,5,0.72,11.1
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18.0,22,1,0,4,0,23.5,0.35,1.5,0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,0,,1,0,0.0,6.0,0,,,0,0,,1,10.0,21.0
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13.0,23,5,0,6,0,20.4,0.28,-2.6,-0.2,71,181,39.2,305,50,42.0,35.5,99,53.5,42.3,189,6,3.2,7,0.54,11.8
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.7,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.0,12.9
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,18.5,20,2,0,1,0,20.1,0.27,0.1,0.0,90,235,38.3,709,92,30.2,32.0,43,48.8,42.7,190,22,11.6,51,2.76,18.2
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41,1982,11.5,14,1,0,4,0,12.1,0.28,-1.9,-0.16,43,115,37.4,330,41,32.4,31.9,34,23.5,28.4,148,2,1.4,6,0.52,12.5
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26,1998,32.0,45,1,0,4,0,40.2,0.31,-4.8,-0.15,161,560,28.8,953,104,48.5,39.0,150,65.3,52.0,490,36,7.3,15,0.47,10.9
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19,2005,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.12,3,9,33.3,16,5,37.5,33.8,5,60.0,39.0,4,0,0.0,1,1.0,26.0
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33,1991,5.0,11,0,0,3,1,8.0,0.32,-2.0,-0.41,35,85,41.2,135,16,60.7,41.8,13,23.1,25.2,62,1,1.6,4,0.8,12.6
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33,1990,34.0,38,1,0,3,1,37.7,0.26,0.7,0.02,218,490,44.5,886,129,40.1,35.8,241,56.0,45.1,478,13,2.7,28,0.8,14.5
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34,1990,3.0,3,0,0,0,0,3.1,0.24,0.1,0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.0,17.0
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32,1992,1.7,2,0,0,0,0,2.4,0.2,0.4,0.23,6,30,20.0,54,9,33.3,35.9,19,63.2,46.7,26,1,3.8,1,0.59,6.2
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27,1997,0.3,1,0,0,0,0,0.9,0.3,-0.1,-0.36,1,10,10.0,9,0,66.7,42.3,6,66.7,47.5,19,0,0.0,0,0.0,3.3
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31,1993,29.0,31,3,0,4,3,34.3,0.29,6.3,0.22,150,391,38.4,722,112,39.3,33.9,214,50.0,41.1,390,21,5.4,14,0.48,11.2
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,28,1996,36.0,64,2,0,6,1,50.8,0.31,-12.2,-0.34,210,720,29.2,760,91,59.9,43.6,298,88.9,59.3,498,30,6.0,23,0.64,11.6
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,29,1995,2.0,2,0,0,0,0,3.0,0.3,1.0,0.51,7,41,17.1,34,2,82.4,55.4,14,92.9,63.4,46,2,4.3,3,1.5,20.3
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26,1998,5.0,3,0,0,0,0,4.1,0.31,1.1,0.23,23,51,45.1,216,15,20.4,28.6,25,28.0,32.1,81,3,3.7,3,0.6,15.8
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,35,1988,32.0,29,3,0,3,1,31.7,0.24,0.7,0.02,91,226,40.3,1199,136,16.9,26.6,126,18.3,27.5,356,14,3.9,14,0.42,13.2
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,31,1992,5.0,3,0,0,0,0,3.7,0.23,0.7,0.14,11,44,25.0,170,30,22.4,29.4,12,50.0,40.8,50,3,6.0,3,0.6,14.0
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27,1997,33.0,32,5,0,6,0,28.1,0.24,-3.9,-0.12,128,333,38.4,848,126,30.0,31.4,146,54.1,44.0,469,29,6.2,30,0.91,13.1
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,22,2001,9.0,7,0,0,1,0,7.9,0.29,0.9,0.1,42,124,33.9,308,36,36.4,35.9,25,48.0,41.8,130,20,15.4,22,2.44,16.8
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,30,1994,29.0,42,4,0,3,2,31.5,0.32,-8.5,-0.29,146,374,39.0,1009,96,30.8,33.3,106,59.4,46.1,366,29,7.9,32,1.1,14.5
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,29,1995,38.0,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,1017,120,51.9,39.1,178,71.9,50.2,590,29,4.9,19,0.5,11.0
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,32,1992,1.4,2,0,0,0,0,2.2,0.36,0.2,0.12,5,13,38.5,46,8,21.7,27.8,14,21.4,30.6,15,1,6.7,3,2.14,25.5
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29,1995,36.6,41,1,1,3,3,36.8,0.26,-1.2,-0.03,118,306,38.6,1355,174,17.4,27.8,194,36.1,38.6,447,26,5.8,68,1.86,18.7
ITA-Serie A,2425,Monza,Andrea Mazza,ITA,GK,20,2004,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,2,50.0,5,1,20.0,24.0,2,50.0,40.0,1,0,0.0,0,0.0,
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22,2001,8.2,17,0,1,2,1,12.4,0.33,-3.6,-0.44,39,113,34.5,273,30,33.7,31.4,49,42.9,38.4,119,4,3.4,7,0.86,12.8
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22,2001,29.7,52,2,1,8,2,47.4,0.31,-2.6,-0.09,177,442,40.0,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,0.87,13.3
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27,1997,33.4,25,1,1,0,2,25.3,0.27,2.3,0.07,88,214,41.1,1041,117,15.4,27.7,181,29.8,34.9,378,21,5.6,47,1.41,16.5
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22,2001,3.6,1,0,0,0,0,2.2,0.27,1.2,0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28,1996,1.0,1,0,0,0,0,1.6,0.4,0.6,0.6,3,12,25.0,35,5,25.7,29.3,9,33.3,32.7,29,1,3.4,0,0.0,7.0
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.0,16.3
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21,2002,36.8,53,5,3,5,2,51.4,0.32,0.4,0.01,204,669,30.5,1272,184,41.4,37.5,223,63.7,52.4,614,64,10.4,38,1.03,12.1
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,24,1999,38.0,35,4,0,4,1,42.5,0.26,8.5,0.22,124,413,30.0,1258,170,23.8,30.6,200,56.5,45.5,495,30,6.1,33,0.87,13.7
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,31,1992,1.0,3,0,0,0,0,2.2,0.32,-0.8,-0.77,8,12,66.7,26,5,34.6,31.0,6,50.0,42.0,12,0,0.0,5,5.0,27.3
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,27,1997,37.0,42,3,1,7,2,51.4,0.27,11.4,0.31,223,702,31.8,1352,191,40.0,37.6,271,59.4,51.1,585,37,6.3,46,1.24,13.7
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,38,1985,1.0,0,0,0,0,0,0.8,0.26,0.8,0.77,3,7,42.9,18,2,33.3,30.5,2,50.0,32.0,11,1,9.1,0,0.0,15.0
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,24,1999,25.0,40,4,2,4,3,37.0,0.32,0.0,0.0,120,292,41.1,776,80,29.9,30.2,99,60.6,47.3,315,14,4.4,23,0.92,14.1
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22,2002,12.0,16,3,1,4,2,14.5,0.24,0.5,0.04,44,148,29.7,337,26,33.2,32.2,55,65.5,47.5,202,4,2.0,13,1.08,14.8
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,22,2002,15.2,23,4,0,3,1,25.2,0.26,3.2,0.21,48,161,29.8,439,51,29.4,31.6,73,43.8,34.3,249,12,4.8,13,0.86,10.8
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27,1997,15.0,18,3,0,2,0,19.2,0.26,1.2,0.08,67,275,24.4,470,61,47.7,40.2,73,69.9,55.3,215,13,6.0,3,0.2,9.1
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,31,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,41,26.8,34.9,125,6,4.8,5,0.64,9.4
